source_no,name_ko,name_en,cas_no,physical_state,flash_point
88,에틸리덴 노보르닌,ETHYLIDENE NORBORNENE,16219-75-3,액체,28.5℃
89,폴리에테르폴리올수지,"Glycerol, propylene oxide, ethylene oxide polymer",9082-00-2,액체,130-221℃
90,2-부톡시에탄올,GLYCOL ETHER,111-76-2,액체,63℃
91,헵탄,HEPTANE,142-82-5,액체,-4℃
92,1-헥사데센,HEXADECENE,629-73-2,액체,70.4℃
93,헥사메틸렌디아민,HEXAMETHYLENEDIAMINE,124-09-4,"고체, 흡습성",85℃
94,헥산,HEXANE,110-54-3,액체,-22℃
95,헥실렌,HEXENE,124-09-4,-,-26℃
96,이소부틸 알코올,ISOBUTANOL,78-83-1,액체,28℃
97,초산 이소부틸,ISOBUTYL ACETATE,110-19-0,액체,18℃
98,1-노난올,ISONONANOL,143-08-8,액체,93℃
99,아이소노닐 알코올,ISONONYL ALCOHOL,27458-94-2,액체,93℃
100,이소프렌,ISOPRENE,78-79-5,액체,35℃
101,이소프로필 알코올,ISOPROPYL ALCOHOL,67-63-0,액체,11.7℃
102,아이소트리데칸올,ISOTRIDECANOL,27458-92-0,액체,>93.3℃
103,메틸 아크릴로니트릴,METHACRYLONITRILE,126-98-7,액체,1.1℃
104,메틸 알코올,METHANOL,67-56-1,액체,11.11℃
105,메틸시클로헥산,METHYL CYCLOHEXANE,108-87-2,액체,-4℃
106,N-메틸다이에탄올아민,METHYL DIETHANOLAMINE,105-59-9,-,136℃
107,메틸 에틸 케톤,METHYL ETHYL KETONE,78-93-3,액체,-9℃
108,메틸 이소부틸 케톤,METHYL ISOBUTYL KETONE,108-10-1,액체,18℃
109,메틸메타크릴레이트,METHYL METHACRYLATE,80-62-6,액체,10℃
110,프로필렌 글리콜 모노메틸 에테르,METHYL PROXITOL,107-98-2,액체,38℃
111,메틸삼차 부틸에테르,METHYL TERTIARY BUTYL ETHER,1634-04-4,액체,-28℃
112,디클로로메탄,METHYLENE CHLORIDE,75-09-2,액체,-
113,메틸렌 디(비스)페닐 디이소시아네이트,METHYLENE DIPHENYL DIISOCYANATE,26447-40-5,고체,154℃
114,디메틸포름아미드,N-DIMETHYL FORMAMIDE,68-12-2,액체,58℃
115,질산,NITRIC ACID,7697-37-2,액체,불연성
116,니트로에탄,NITROETHANE,79-24-3,액체,36℃
117,1-메틸-2-피롤리디논,N-Methyl-2-pyrrolidone,872-50-4,액체,91℃
118,노넨,NONENE,27215-95-8,액체,26℃
119,노말-프로필 알콜,N-PROPANOL,71-23-8,액체,22.2℃
120,옥타메틸사이클로테트라실록산,OCTAMETHYLCYCLOTETRASILOXANE,556-67-2,-,56℃
121,옥타놀-1,OCTANOL,111-87-5,액체,81℃
122,1-옥텐,OCTENE,111-66-0,액체,10℃
123,폴리에테르 폴리올 수지,"Oxirane, 2-methyl-, polymer with oxirane",9082-00-2,액체,130~221℃
124,파라-디클로로벤젠,PARA DICHLOROBENZENE,106-46-7,"고체, 결정형",66℃
125,N-아밀 알코올,PENTYLOL,71-41-0 외,액체,43℃
126,퍼클로로에틸렌,PERCHLOROETHYLENE,127-18-4,액체,비인화성
127,페놀,PHENOL,108-95-2,고체,79℃
128,인산,PHOSPHORIC ACID,7664-38-2,고체(흡습성),-
129,"1,3-펜타디엔","1,3-PENTADIENE",504-60-9,액체,28℃
130,폴리알킬렌글리콜에테르,POLY (2-8) ALKYLENE GLYCOL ETHER,109-86-4,액체,39℃
131,폴리알킬렌글리콜모노알킬에테르,POLY(2-8)ALKYLENE GLYCOL MONOALKYL (C1-C6) ETHER,109-86-4,액체,39℃
132,"1-데센, 호모중합체, 수소화된",POLYALPHAOLEFIN,68037-01-4,액체(기름),238℃
133,폴리에틸렌-폴리프로필렌 글리콜,POLYETHER POLYOL,9003-11-6,액체,>96℃
134,폴리에테르 트리올,POLYETHER TRIOL,9003-11-6,액체,>96℃
135,황산 철,FERRIC SULFATE,10028-22-5,고체,-
136,아이소사이안산 폴리메틸렌 폴리페닐렌에스터,POLYMETHYLENE POLYPHENYL ISOCYANATE,9016-87-9,액체,215℃
137,에텐-1-옥텐 공중합체,POLYOLEFIN,26221-73-8,고체,-
138,폴리프로필렌 트리올,POLYOXYPROPYLENE,25791-96-2,액체,148~260℃
139,수산화 칼륨,POTASSIUM HYDROXIDE,1310-58-3,고체,불연성
140,프로페인,PROPANE,74-98-6,"가스, 액화가스",-105℃
141,노말-프로필 알콜,PROPANOL,71-23-8,액체,22.2℃
142,프로피온산,PROPIONIC ACID,79-09-4,액체,54℃
143,프로필렌,PROPYLENE,115-07-1,가스,-107℃
144,프로필렌 글리콜,PROPYLENE GLYCOL,57-55-6,액체(점성액체),104℃
145,프로필렌 글리콜 모노메틸 에테르,PROPYLENE GLYCOL METHYL ETHER,107-98-2,액체,38℃
146,프로필렌 글리콜 모노메틸 에테르 아세트산,PROPYLENE GLYCOL METHYL ETHER ACETATE,108-65-6,액체,42℃
147,프로필렌 글리콜 모노알킬 에테르,PROPYLENE GLYCOL MONOALKYL ETHER,107-98-2,액체,38℃
148,"1,2-에폭시프로판",Propylene oxide,75-56-9,액체,-37℃
149,프로필렌,PROPYLENE PENTAMER,115-07-1,가스,-107℃
150,알켄,"ALKENES, C10-14-BRANCHED",93821-12-6,액체,58℃
151,아이소부텐,ISOBUTENE,115-11-7,-,-76.1℃
152,수산화나트륨,SODIUM HYDROXIDE,1310-73-2,고체,-
153,스테아릴 알코올,STEARYL ALCOHOL,112-92-5,고체,172~177℃
154,스티렌,STYRENE MONOMER,100-42-5,액체,31℃
