name_ko,name_en,cas_no,note
원유,Crude Oil,8002-05-9,울산항 물동량 1위. KOSHA 등재명 '석유(PETROLEUM)'
경유,Diesel Fuel,68334-30-5,수출입 상위 품목. KOSHA 등재명 '디젤 연료'
휘발유,Gasoline,8006-61-9,KOSHA 등재명 '가솔린'
등유,Kerosine,8008-20-6,KOSHA 등재명 '케로젠'
나프타,Naphtha,8030-30-6,석유화학 기초원료. KOSHA 등재명 '러버 솔벤트'
벙커유/잔사유,"Fuel Oil, Residual",68476-33-5,선박연료
아스팔트,Asphalt,8052-42-4,
파라자일렌,p-Xylene,106-42-3,국내 제조·수출 핵심. UN1307을 크실렌(1330-20-7)과 공유
LNG/메탄,Methane,74-82-8,가스부두. KOSHA 등재명 '메테인'
액화수소,Hydrogen,1333-74-0,
