facility_cd,facility_sub_code,facility_nm,wharf_name,berth_id,match_level,confidence,gap_reason
MBJ,03,자동차부두 03,자동차부두,자동차부두-3선석,BERTH,AUTO_COUNT_MATCH,
MLJ,01,장생포호안,,,KNOWN_GAP,CONFIRMED_NO_SOURCE,UPA 웹 부두현황·공공 API·해수청 시설현황 어디에도 없음. 호안(護岸)이라 안벽 제원 공시 대상이 아닌 것으로 보인다
MDG,01,정일1부두,정일1부두,,WHARF,COUNT_MISMATCH,
MDG,02,정일2부두,정일2부두,,WHARF,COUNT_MISMATCH,
MBN,13,정일스톨트헤븐울산신항3부두,정일스톨트헤븐 울산신항3부두,정일스톨트헤븐 울산신항3부두,BERTH,AUTO_COUNT_MATCH,
MBN,14,정일스톨트헤븐울산신항4부두,정일스톨트헤븐 울산신항4부두,정일스톨트헤븐 울산신항4부두,BERTH,AUTO_COUNT_MATCH,
MBN,15,정일스톨트헤븐울산신항5부두,정일스톨트헤븐 울산신항5부두,정일스톨트헤븐 울산신항5부두,BERTH,AUTO_COUNT_MATCH,
MBO,05,정일컨부두,정일컨부두,정일컨부두,BERTH,AUTO_COUNT_MATCH,
MBN,18,한진신항부두,한진신항부두,한진신항부두,BERTH,AUTO_COUNT_MATCH,
MQM,01,현대미포의장안벽 01,,,KNOWN_GAP,CONFIRMED_NO_SOURCE,조선소 의장안벽 — 상업 항만시설이 아니라 제원 공시 대상이 아님
MQM,02,현대미포의장안벽 02,,,KNOWN_GAP,CONFIRMED_NO_SOURCE,조선소 의장안벽 — 상업 항만시설이 아니라 제원 공시 대상이 아님
MQM,05,현대미포의장안벽 05,,,KNOWN_GAP,CONFIRMED_NO_SOURCE,조선소 의장안벽 — 상업 항만시설이 아니라 제원 공시 대상이 아님
MBN,12,현대오일터미널신항2부두,현대오일터미널 신항2부두,현대오일터미널 신항2부두,BERTH,AUTO_COUNT_MATCH,
MQP,03,현중미포만의장안벽,,,KNOWN_GAP,CONFIRMED_NO_SOURCE,조선소 의장안벽 — 상업 항만시설이 아니라 제원 공시 대상이 아님
MQP,05,현중해양의장안벽,,,KNOWN_GAP,CONFIRMED_NO_SOURCE,조선소 의장안벽 — 상업 항만시설이 아니라 제원 공시 대상이 아님
MBO,06,효성부두,효성부두,효성부두,BERTH,AUTO_COUNT_MATCH,
