port_code,seq,list_name,list_address,list_operator,list_built_year,port_gubun,부두/선석명,소재지,준공년도,준공주체,안벽길이,수심,접안능력,하역능력,운영사,주요취급화물,fetched_at_utc
PORT0000000078,78,달포부두2선석,"울산광역시 울주군 온산읍 산암리 150-7번지, 320번지, 321-1번지",울산항만공사,2002,온산항,달포부두2선석,"울산광역시 울주군 온산읍 산암리 150-7번지, 320번지, 321-1번지",2002,국가,325m(중력식),7m,"3,000DWT / 2척",,울산항만공사,"조선기자재,규사 등",2026-09-19T13:59:08.119569+00:00
PORT0000000079,79,대한유화부두1선석,울산광역시 울주군 온산읍 처용리 수역,대한유화(주),1991,온산항,대한유화부두1선석,울산광역시 울주군 온산읍 처용리 수역,1991,민간,320m(돌핀),12m,"80,000DWT / 1척50,000DWT / 1척","1,581천 톤",대한유화(주),석유정제품 등,2026-09-19T13:59:08.119569+00:00
PORT0000000080,80,대한유화부두2선석,울산광역시 울주군 온산읍 처용리 수역,대한유화(주),1991,온산항,대한유화부두2선석,울산광역시 울주군 온산읍 처용리 수역,1991,민간,320m(돌핀),12m,"80,000DWT / 1척50,000DWT / 1척","1,581천 톤",대한유화(주),석유정제품 등,2026-09-19T13:59:08.119569+00:00
PORT0000000081,81,S-Oil 4부두1선석,울산광역시 울주군 온산읍 산암리 150번지 일원,동북화학,2003,온산항,S-Oil 4부두1선석,울산광역시 울주군 온산읍 산암리 150번지 일원,2003,민간,585m(중력식),,"30,000DWT / 1척",,동북화학,화학공업생산품 등,2026-09-19T13:59:08.119569+00:00
PORT0000000082,82,S-Oil 4부두2선석,울산광역시 울주군 온산읍 산암리 150번지 일원,동북화학,2008,온산항,S-Oil 4부두2선석,울산광역시 울주군 온산읍 산암리 150번지 일원,2008,민간,585m(중력식),12m,"10,000DWT 2척",,동북화학,화학공업생산품 등,2026-09-19T13:59:08.119569+00:00
PORT0000000083,83,S-Oil 4부두3선석,울산광역시 울주군 온산읍 산암리 150번지 일원,동북화학,2008,온산항,S-Oil 4부두3선석,울산광역시 울주군 온산읍 산암리 150번지 일원,2008,민간,585m(중력식),12m,"10,000DWT 2척",,동북화학,화학공업생산품 등,2026-09-19T13:59:08.119569+00:00
PORT0000000084,84,온산1부두,울산광역시 울주군 온산읍 산암리 143번지 일원,KG케미칼,1993,온산항,온산1부두,울산광역시 울주군 온산읍 산암리 143번지 일원,1993,국가,270m(중력식),11m,"20,000DWT / 1척",905천 톤,KG케미칼,"모래, 광석,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000085,85,온산2부두,울산광역시 울주군 온산읍 산암리 143번지 일원,LS니꼬동제련,1981,온산항,온산2부두,울산광역시 울주군 온산읍 산암리 143번지 일원,1981,국가,210m(중력식),11m,"20,000DWT / 1척",816천 톤,LS니꼬동제련,"석유정제품,광석 등",2026-09-19T13:59:08.119569+00:00
PORT0000000086,86,온산3부두,울산광역시 울주군 온산읍 산암리 143-20,고려아연(주),1991,온산항,온산3부두,울산광역시 울주군 온산읍 산암리 143-20,1991,국가,230m(잔교식),12m,"20,000DWT / 1척",816천 톤,고려아연(주),"석유정제품,광석 등",2026-09-19T13:59:08.119569+00:00
PORT0000000087,87,온산4부두,울산광역시 울주군 온산읍 산암리 143번지 일원,한라시멘트,1992,온산항,온산4부두,울산광역시 울주군 온산읍 산암리 143번지 일원,1992,국가,210m(중력식),11m,"20,000DWT / 1척","20,000DWT / 1척",한라시멘트,"석유정제품,시멘트 등",2026-09-19T13:59:08.119569+00:00
PORT0000000088,88,정일1부두1선석,울산광역시 울주군 온산읍 산암리 수역,(주)정일스톨트헤븐울산,1988,온산항,정일1부두1선석,울산광역시 울주군 온산읍 산암리 수역,1988,민간,354m(돌핀),11m,"40,000DWT / 1척3,000DWT / 1척",925천 톤,(주)정일스톨트헤븐울산,석유정제품 등,2026-09-19T13:59:08.119569+00:00
PORT0000000089,89,정일1부두2선석,울산광역시 울주군 온산읍 산암리 수역,(주)정일스톨트헤븐울산,1988,온산항,정일1부두2선석,울산광역시 울주군 온산읍 산암리 수역,1988,민간,354m(돌핀),11m,"40,000DWT / 1척3,000DWT / 1척",925천 톤,(주)정일스톨트헤븐울산,석유정제품 등,2026-09-19T13:59:08.119569+00:00
PORT0000000090,90,정일2부두1선석,울산광역시 울주군 온산읍 산암리 수역,(주)정일스톨트헤븐울산,2002,온산항,정일2부두1선석,울산광역시 울주군 온산읍 산암리 수역,2002,민간,256m(돌핀),12.5m,"40,000DWT / 1척20,000DWT / 1척","1,395천 톤",(주)정일스톨트헤븐울산,석유정제품 등,2026-09-19T13:59:08.119569+00:00
PORT0000000091,91,정일2부두2선석,울산광역시 울주군 온산읍 산암리 수역,(주)정일스톨트헤븐울산,2002,온산항,정일2부두2선석,울산광역시 울주군 온산읍 산암리 수역,2002,민간,256m(돌핀),12.5m,"40,000DWT / 1척20,000DWT / 1척","1,395천 톤",(주)정일스톨트헤븐울산,석유정제품 등,2026-09-19T13:59:08.119569+00:00
PORT0000000092,92,정일컨부두,울산광역시 울주군 온산읍 산암리 150번지 일원,정일울산컨테이너터미널(주),1997,온산항,정일컨부두,울산광역시 울주군 온산읍 산암리 150번지 일원,1997,민간,220m(중력식),12m,"20,000DWT / 1척","3,407천 톤",정일울산컨테이너터미널(주),컨테이너,2026-09-19T13:59:08.119569+00:00
PORT0000000093,93,효성부두,울산광역시 울주군 온산읍 산암리 150번지 일원,효성,1997,온산항,효성부두,울산광역시 울주군 온산읍 산암리 150번지 일원,1997,민간,240m(중력식),12m,"30,000DWT / 1척",761천 톤,효성,화학공업생산품 등,2026-09-19T13:59:08.119569+00:00
PORT0000000094,94,LS니꼬신항부두,"울산광역시 울주군 온산읍 산암리 955, 956번지 일원",LS니꼬동제련,2011,울산신항,LS니꼬신항부두,"울산광역시 울주군 온산읍 산암리 955, 956번지 일원",2011,민간,280m(중력식),14m,"30,000DWT / 1척","1,571천 톤",LS니꼬동제련,"동, 철강, 연료 등",2026-09-19T13:59:08.119569+00:00
PORT0000000095,95,대한통운신항부두,울산광역시 울주군 온산읍 이진리 275번지,CJ대한통운,2012,울산신항,대한통운신항부두,울산광역시 울주군 온산읍 이진리 275번지,2012,민간,210m(중력식),14m,"20,000DWT / 1척",661천 톤,CJ대한통운,661천 톤,2026-09-19T13:59:08.119569+00:00
PORT0000000096,96,세방신항부두,울산광역시 울주군 온산읍 산암리 983번지,세방,2013,울산신항,세방신항부두,울산광역시 울주군 온산읍 산암리 983번지,2013,민간,240m(중력식),14m,"20,000DWT / 1척",661천 톤,세방,661천 톤,2026-09-19T13:59:08.119569+00:00
PORT0000000097,97,"신항""컨""부두1선석","울산광역시 남구 황성동 830, 831번지",UNCT,2009,울산신항,"신항""컨""부두1선석","울산광역시 남구 황성동 830, 831번지",2009,민간,920m(중력식),14m,"30,000DWT(2천TEU)/4척","7,202천 톤 (52만TEU)",UNCT,컨테이너,2026-09-19T13:59:08.119569+00:00
PORT0000000098,98,"신항""컨""부두2선석","울산광역시 남구 황성동 830, 831번지",UNCT,2009,울산신항,"신항""컨""부두2선석","울산광역시 남구 황성동 830, 831번지",2009,민간,920m(중력식),14m,"30,000DWT(2천TEU)/4척","7,202천 톤 (52만TEU)",UNCT,컨테이너,2026-09-19T13:59:08.119569+00:00
PORT0000000099,99,"신항""컨""부두3선석","울산광역시 남구 황성동 830, 831번지",UNCT,2009,울산신항,"신항""컨""부두3선석","울산광역시 남구 황성동 830, 831번지",2009,민간,920m(중력식),14m,"30,000DWT(2천TEU)/4척","7,202천 톤 (52만TEU)",UNCT,컨테이너,2026-09-19T13:59:08.119569+00:00
PORT0000000100,100,"신항""컨""부두4선석","울산광역시 남구 황성동 830, 831번지",UNCT,2009,울산신항,"신항""컨""부두4선석","울산광역시 남구 황성동 830, 831번지",2009,민간,920m(중력식),14m,14m,"7,202천 톤 (52만TEU)",UNCT,컨테이너,2026-09-19T13:59:08.119569+00:00
PORT0000000101,101,신항남방파제 T/S부두1선석,울산광역시 울주군 온산읍 산암리 수역,울산해상하역,2009,울산신항,신항남방파제 T/S부두1선석,울산광역시 울주군 온산읍 산암리 수역,2009,국가,540m,16m,"50,000DWT / 2척",,울산해상하역,"화학공업생산품,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000102,102,신항남방파제 T/S부두2선석,울산광역시 울주군 온산읍 산암리 수역,울산해상하역,2009,울산신항,신항남방파제 T/S부두2선석,울산광역시 울주군 온산읍 산암리 수역,2009,국가,540m,16m,"50,000DWT / 2척",,울산해상하역,"화학공업생산품,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000103,103,신항북방파제 T/S부두1선석,울산광역시 남구 황성동 수역,울산해상하역,2012,울산신항,신항북방파제 T/S부두1선석,울산광역시 남구 황성동 수역,2012,국가,650m,16m,"30,000DWT / 2척",,울산해상하역,"화학공업생산품,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000104,104,신항북방파제 T/S부두2선석,울산광역시 남구 황성동 수역,울산해상하역,2012,울산신항,신항북방파제 T/S부두2선석,울산광역시 남구 황성동 수역,2012,국가,650m,16m,"30,000DWT / 2척",,울산해상하역,"화학공업생산품,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000105,105,신항일반부두1선석,울산광역시 남구 황성동 829번지,동방,2009,울산신항,신항일반부두1선석,울산광역시 남구 황성동 829번지,2009,국가,340m(중력식),12m,"20,000DWT / 2척","1,396천 톤",동방,"석유정제품,철강, 철강제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000106,106,신항일반부두2선석,울산광역시 남구 황성동 829번지,동방,2009,울산신항,신항일반부두2선석,울산광역시 남구 황성동 829번지,2009,국가,340m(중력식),12m,"20,000DWT / 2척","1,396천 톤",동방,"석유정제품,철강, 철강제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000107,107,신항작업부두,울산광역시 남구 황성동,울산항만공사,1998,울산신항,신항작업부두,울산광역시 남구 황성동,1998,국가,140m(중력식),7m,"3,000DWT / 7m","1,360천 톤",울산항만공사,공사용자재,2026-09-19T13:59:08.119569+00:00
PORT0000000108,108,용연부두1선석,울산광역시 남구 황성동 380번지,울산항만공사,2016,울산신항,용연부두1선석,울산광역시 남구 황성동 380번지,2016,울산항만공사,450m(중력식),14m,"20,000DWT / 1척30,000DWT / 1척","1,280천 톤",울산항만공사,"목재, 잡화 등",2026-09-19T13:59:08.119569+00:00
PORT0000000109,109,용연부두2선석,울산광역시 남구 황성동 380번지,울산항만공사,2016,울산신항,용연부두2선석,울산광역시 남구 황성동 380번지,2016,울산항만공사,150m(중력식),14m,"20,000DWT / 1척30,000DWT / 1척","1,280천 톤",울산항만공사,"목재, 잡화 등",2026-09-19T13:59:08.119569+00:00
PORT0000000110,110,정일스톨트헤븐 울산신항 3부두,울산광역시 온산읍 산암리 984번지 일원,(주)정일스톨트헤븐울산,2013,울산신항,정일스톨트헤븐 울산신항 3부두,울산광역시 온산읍 산암리 984번지 일원,2013,민간,270m(중력식),14m,"50,000DWT / 1척","1,836천 톤",(주)정일스톨트헤븐울산,"유기화합물,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000111,111,정일스톨트헤븐 울산신항 4부두,울산광역시 온산읍 산암리 984번지 일원,(주)정일스톨트헤븐울산,2012,울산신항,정일스톨트헤븐 울산신항 4부두,울산광역시 온산읍 산암리 984번지 일원,2012,민간,270m(중력식),14m,"50,000DWT / 1척","1,836천 톤",(주)정일스톨트헤븐울산,"유기화합물,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000112,112,정일스톨트헤븐 울산신항 5부두,울산광역시 온산읍 산암리 984번지 일원,(주)정일스톨트헤븐울산,2012,울산신항,정일스톨트헤븐 울산신항 5부두,울산광역시 온산읍 산암리 984번지 일원,2012,민간,270m(중력식),14m,"50,000DWT / 1척","1,836천 톤",(주)정일스톨트헤븐울산,"석유정제품,동식물성유지 등",2026-09-19T13:59:08.119569+00:00
PORT0000000113,113,UTK신항부두,"울산광역시 울주군 온산읍 이진리 265, 266번지",유나이티드터미널코리아(주)_신항,2012,울산신항,UTK신항부두,"울산광역시 울주군 온산읍 이진리 265, 266번지",2012,2012년 / 민간,240m(중력식),14m,"20,000DWT / 1척",728천 톤,유나이티드터미널코리아(주)_신항,"목재, 펄프 등",2026-09-19T13:59:08.119569+00:00
PORT0000000114,114,한국석유공사 부이,울산광역시 울주군 온산읍 해상,한국석유공사,1995,울산신항,한국석유공사 부이,울산광역시 울주군 온산읍 해상,1995,민간,,27m,"300,000DWT / 1기",,한국석유공사,원유,2026-09-19T13:59:08.119569+00:00
PORT0000000115,115,한진신항부두,울산광역시 울주군 온산읍 이진리 274번지,한진울산신항운영,2012,울산신항,한진신항부두,울산광역시 울주군 온산읍 이진리 274번지,2012,민간,210m(중력식),14m,"20,000DWT / 1척",661천 톤,한진울산신항운영,"화학공업생산품,모래, 목재, 기계류",2026-09-19T13:59:08.119569+00:00
PORT0000000116,116,현대오일터미널 신항부두,울산광역시 울주군 온산읍 산암리 978번지,현대오일터미널(주),2013,울산신항,현대오일터미널 신항부두,울산광역시 울주군 온산읍 산암리 978번지,2013,민간,270m(중력식),14m,"50,000DWT / 1척","1,836천 톤",현대오일터미널(주),"화학공업생산품,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000117,117,미포부두,"울산광역시 동구 방어동 1425-2번지, 서부동 134번지 일원",현대중공업,1972,미포항,미포부두,"울산광역시 동구 방어동 1425-2번지, 서부동 134번지 일원",1972,민간,210m(중력식),9m,"20,000DWT / 1척",987천 톤,현대중공업,"철강, 철강제품,기계류, 선박 등",2026-09-19T13:59:08.119569+00:00
