berth_group,operator,stop_wind_ms,stop_wave_m,unberth_wind_ms,unberth_wave_m,disconnect_wind_ms,disconnect_wave_m,extra_conditions,source
__GLOBAL_DEFAULT__,,14,1.5,,,,,,수행계획서_기상에이전트_전역값(berth_group 미지정 시 폴백)
정일1/2부두(산암리),정일스톨트헤븐울산,17,1,19,,21,2,대기정체/심한뇌우/태풍경로,정일_입항정보_9.8
OTK1/2부두(처용리),오드펠터미널코리아,14,2,18,2.5,21,3,대기정체/심한뇌우/태풍경로,오드펠_입항정보_9.8
UTK부두(처용리),유나이티드터미널코리아,14,2,17,2,21,2,대기정체/심한뇌우/태풍경로,UTK_입항정보_9.8
대한유화부두(처용리),대한유화,14,2,18,2,21,2,,대한유화_입항정보_9.8
효성부두(산암리),효성,14,2,21,2,21,2,,효성_입항정보_9.8
S-Oil1~4부두(산암리/원산리),S-OIL,14,,17,,21,,대기정체/심한뇌우/태풍경로,S-OIL_입항정보_9.8
한국석유공사원유부이,한국석유공사,12,1.5,15,2,15,2,40톤이상 10분내 3회 긴급이안,석유공사_입항정보_9.8
